pair	scenario	variant	workload	backend	repeat	instructions	ms	instr/sec	mips	cycles	native-cycles	allocated bytes	checksum	compiled traces	fallback instr	pure trace instr	bus trace instr	zero-wait reads	zero-wait writes
2	bus-prefetch	control	register-hot-loop	InterpreterM68000BusPrefetch	1	30000000	1546.309	19401044	19.401	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
2	bus-prefetch	control	memory-transform-loop	InterpreterM68000BusPrefetch	1	30000000	2284.869	13129855	13.130	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
3	default	control	branch-self-loop	InterpreterM68000	1	30000000	39.785	754058721	754.059	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
3	default	control	register-hot-loop	InterpreterM68000	1	30000000	118.488	253191051	253.191	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
3	default	control	memory-transform-loop	InterpreterM68000	1	30000000	1959.635	15308971	15.309	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
3	default	final	branch-self-loop	InterpreterM68000	1	30000000	39.541	758702316	758.702	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
3	default	final	register-hot-loop	InterpreterM68000	1	30000000	111.234	269701710	269.702	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
3	default	final	memory-transform-loop	InterpreterM68000	1	30000000	1333.655	22494566	22.495	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
3	cfg	control	cfg-bcc-register-loop	InterpreterM68000	1	30000000	1614.369	18583111	18.583	219581146	0	0	0xFC58829D	0	0	0	0	0	0
3	cfg	control	cfg-dbra-load-loop	InterpreterM68000	1	30000000	1599.841	18751869	18.752	329999082	0	0	0xDD782700	0	0	0	0	0	0
3	cfg	control	cfg-bcc-memory-loop	InterpreterM68000	1	30000000	1693.637	17713355	17.713	254409444	0	0	0x7EA0225A	0	0	0	0	0	0
3	cfg	final	cfg-bcc-register-loop	InterpreterM68000	1	30000000	1017.325	29489113	29.489	219581146	0	0	0xFC58829D	0	0	0	0	0	0
3	cfg	final	cfg-dbra-load-loop	InterpreterM68000	1	30000000	1012.552	29628117	29.628	329999082	0	0	0xDD782700	0	0	0	0	0	0
3	cfg	final	cfg-bcc-memory-loop	InterpreterM68000	1	30000000	1083.420	27690090	27.690	254409444	0	0	0x7EA0225A	0	0	0	0	0	0
3	bus-prefetch	control	branch-self-loop	InterpreterM68000BusPrefetch	1	30000000	1799.846	16668091	16.668	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
3	bus-prefetch	control	register-hot-loop	InterpreterM68000BusPrefetch	1	30000000	1685.022	17803926	17.804	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
3	bus-prefetch	control	memory-transform-loop	InterpreterM68000BusPrefetch	1	30000000	2235.145	13421949	13.422	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
3	bus-prefetch	final	branch-self-loop	InterpreterM68000BusPrefetch	1	30000000	1667.606	17989861	17.990	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
3	bus-prefetch	final	register-hot-loop	InterpreterM68000BusPrefetch	1	30000000	1547.203	19389829	19.390	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
3	bus-prefetch	final	memory-transform-loop	InterpreterM68000BusPrefetch	1	30000000	2161.568	13878811	13.879	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
4	default	final	branch-self-loop	InterpreterM68000	1	30000000	40.322	744007023	744.007	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
4	default	final	register-hot-loop	InterpreterM68000	1	30000000	117.205	255961776	255.962	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
4	default	final	memory-transform-loop	InterpreterM68000	1	30000000	1333.661	22494475	22.494	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
4	default	control	branch-self-loop	InterpreterM68000	1	30000000	40.620	738556074	738.556	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
4	default	control	register-hot-loop	InterpreterM68000	1	30000000	119.619	250796069	250.796	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
4	default	control	memory-transform-loop	InterpreterM68000	1	30000000	1947.444	15404810	15.405	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
4	cfg	final	cfg-bcc-register-loop	InterpreterM68000	1	30000000	1014.216	29579504	29.580	219581146	0	0	0xFC58829D	0	0	0	0	0	0
4	cfg	final	cfg-dbra-load-loop	InterpreterM68000	1	30000000	1009.987	29703350	29.703	329999082	0	0	0xDD782700	0	0	0	0	0	0
4	cfg	final	cfg-bcc-memory-loop	InterpreterM68000	1	30000000	1071.996	27985179	27.985	254409444	0	0	0x7EA0225A	0	0	0	0	0	0
4	cfg	control	cfg-bcc-register-loop	InterpreterM68000	1	30000000	1533.401	19564358	19.564	219581146	0	0	0xFC58829D	0	0	0	0	0	0
4	cfg	control	cfg-dbra-load-loop	InterpreterM68000	1	30000000	1595.654	18801064	18.801	329999082	0	0	0xDD782700	0	0	0	0	0	0
4	cfg	control	cfg-bcc-memory-loop	InterpreterM68000	1	30000000	1667.759	17988206	17.988	254409444	0	0	0x7EA0225A	0	0	0	0	0	0
4	bus-prefetch	final	branch-self-loop	InterpreterM68000BusPrefetch	1	30000000	1656.107	18114777	18.115	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
4	bus-prefetch	final	register-hot-loop	InterpreterM68000BusPrefetch	1	30000000	1535.717	19534853	19.535	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
4	bus-prefetch	final	memory-transform-loop	InterpreterM68000BusPrefetch	1	30000000	2087.667	14370108	14.370	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
4	bus-prefetch	control	branch-self-loop	InterpreterM68000BusPrefetch	1	30000000	1675.162	17908712	17.909	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
4	bus-prefetch	control	register-hot-loop	InterpreterM68000BusPrefetch	1	30000000	1551.043	19341824	19.342	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
4	bus-prefetch	control	memory-transform-loop	InterpreterM68000BusPrefetch	1	30000000	2165.443	13853978	13.854	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
5	default	control	branch-self-loop	InterpreterM68000	1	30000000	39.129	766688901	766.689	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
5	default	control	register-hot-loop	InterpreterM68000	1	30000000	114.260	262559076	262.559	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
5	default	control	memory-transform-loop	InterpreterM68000	1	30000000	1975.536	15185750	15.186	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
5	default	final	branch-self-loop	InterpreterM68000	1	30000000	39.955	750846580	750.847	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
5	default	final	register-hot-loop	InterpreterM68000	1	30000000	115.955	258721279	258.721	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
5	default	final	memory-transform-loop	InterpreterM68000	1	30000000	1310.611	22890085	22.890	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
5	cfg	control	cfg-bcc-register-loop	InterpreterM68000	1	30000000	1541.160	19465852	19.466	219581146	0	0	0xFC58829D	0	0	0	0	0	0
5	cfg	control	cfg-dbra-load-loop	InterpreterM68000	1	30000000	1612.537	18604219	18.604	329999082	0	0	0xDD782700	0	0	0	0	0	0
5	cfg	control	cfg-bcc-memory-loop	InterpreterM68000	1	30000000	1676.622	17893117	17.893	254409444	0	0	0x7EA0225A	0	0	0	0	0	0
5	cfg	final	cfg-bcc-register-loop	InterpreterM68000	1	30000000	987.946	30366048	30.366	219581146	0	0	0xFC58829D	0	0	0	0	0	0
5	cfg	final	cfg-dbra-load-loop	InterpreterM68000	1	30000000	1020.943	29384590	29.385	329999082	0	0	0xDD782700	0	0	0	0	0	0
5	cfg	final	cfg-bcc-memory-loop	InterpreterM68000	1	30000000	1084.412	27664752	27.665	254409444	0	0	0x7EA0225A	0	0	0	0	0	0
5	bus-prefetch	control	branch-self-loop	InterpreterM68000BusPrefetch	1	30000000	1903.861	15757451	15.757	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
5	bus-prefetch	control	register-hot-loop	InterpreterM68000BusPrefetch	1	30000000	1658.253	18091330	18.091	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
5	bus-prefetch	control	memory-transform-loop	InterpreterM68000BusPrefetch	1	30000000	2233.932	13429235	13.429	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
5	bus-prefetch	final	branch-self-loop	InterpreterM68000BusPrefetch	1	30000000	1652.327	18156216	18.156	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
